step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,601,1,0.04387259681855213,0.0,0.0,0.04146642737274385,0.0,0.0,,
2,1362,2,0.03857040708634763,0.0,0.0,,,,,
3,2011,3,0.04178441063146305,0.0,0.0,,,,,
4,2940,4,0.03943174568478596,0.0,0.0,,,,,
5,3725,5,0.03490235350985966,1.0,1.0,,,,,
6,4230,6,0.03728740763944289,0.0,0.0,,,,,
7,4991,7,0.030874001044764315,1.0,1.0,,,,,
8,5744,8,0.03611966513773486,0.0,0.0,,,,,
9,7281,9,0.03424207511975908,1.0,1.0,0.03997681392437738,0.0,0.0,,
10,7906,10,0.029837398413562765,1.0,1.0,,,,,
11,8235,11,0.043168466097459474,0.0,0.0,,,,,
12,9260,12,0.034514148905626596,0.0,0.0,,,,,
13,10165,13,0.03263312769782023,0.0,0.0,,,,,
14,10934,14,0.03281639740653645,0.0,0.0,,,,,
15,11855,15,0.035935713451952955,1.0,1.0,,,,,
16,12472,16,0.042877528353491436,0.0,0.0,,,,,
17,13161,17,0.03461552087885604,0.0,0.0,0.03288463936679297,1.0,1.0,,
18,14106,18,0.03504522724552015,0.0,0.0,,,,,
19,15083,19,0.03356936505560565,0.0,0.0,,,,,
20,15860,20,0.01999588870134138,0.0,0.0,,,,,
21,16341,21,0.03756015842022801,1.0,1.0,,,,,
22,17062,22,0.039115290131187065,1.0,1.0,,,,,
23,17967,23,0.02998121701584654,1.0,1.0,,,,,
24,18592,24,0.031058909072121308,0.0,0.0,,,,,
25,19289,25,0.03092003791068979,0.0,0.0,0.03640658750159642,1.0,1.0,,
26,20122,26,0.02898897764555071,1.0,1.0,,,,,
27,20467,27,0.035645659624661194,1.0,1.0,,,,,
28,21044,28,0.035197899891245464,1.0,1.0,,,,,
29,21893,29,0.031233862438099128,0.0,0.0,,,,,
30,23174,30,0.031098999924394213,0.0,0.0,,,,,
31,24487,31,0.033386955990125707,0.0,0.0,,,,,
32,25864,32,0.03619764335458078,0.0,0.0,,,,,
33,26769,33,0.030551963995009417,0.0,0.0,0.031767040591421734,0.0,0.0,,
34,27474,34,0.03270157036675962,0.0,0.0,,,,,
35,27883,35,0.03434713944848958,1.0,1.0,,,,,
36,28828,36,0.030425108565186283,0.0,0.0,,,,,
37,29645,37,0.03340416991265788,1.0,1.0,,,,,
38,30150,38,0.027233324752355296,1.0,1.0,,,,,
39,30831,39,0.03398214182498872,1.0,1.0,,,,,
40,31520,40,0.02790323519239421,0.0,0.0,,,,,
41,32073,41,0.03376049167168223,0.0,0.0,0.03057587056575601,0.0,0.0,,
42,33186,42,0.030398265597686363,1.0,1.0,,,,,
43,33667,43,0.028846669581058453,1.0,1.0,,,,,
44,34316,44,0.02871700507120678,0.0,0.0,,,,,
45,34901,45,0.03400353980362931,0.0,0.0,,,,,
46,35846,46,0.03389912336705457,0.0,0.0,,,,,
47,36631,47,0.028507627791932996,0.0,0.0,,,,,
48,36968,48,0.03930451753749982,0.0,0.0,,,,,
49,37713,49,0.03184490324090388,0.0,0.0,0.03402117096641015,1.0,1.0,,
50,38154,50,0.03163234454562678,1.0,1.0,,,,,
51,38595,51,0.028071037170658026,1.0,1.0,,,,,
52,39212,52,0.028225333052773426,1.0,1.0,,,,,
53,39645,53,0.032874612635573404,0.0,0.0,,,,,
54,40198,54,0.031826011679728046,0.0,0.0,,,,,
55,40983,55,0.03305397991345651,0.0,0.0,,,,,
56,41776,56,0.03594468823227947,1.0,1.0,,,,,
57,42881,57,0.03346700536086614,0.0,0.0,0.032830545522570656,0.0,0.0,,
58,44258,58,0.034659698609439245,0.0,0.0,,,,,
59,45203,59,0.028677949691838355,0.0,0.0,,,,,
60,45948,60,0.030205787553712192,1.0,1.0,,,,,
61,46861,61,0.03806255284929947,0.0,0.0,,,,,
62,47542,62,0.030524984658032085,0.0,0.0,,,,,
63,48351,63,0.031366377655561724,1.0,1.0,,,,,
64,49400,64,0.029866189372748573,1.0,1.0,,,,,
65,50273,65,0.0347801323009509,1.0,1.0,0.03237698101900004,0.0,0.0,,
66,50706,66,0.030028459309852953,0.0,0.0,,,,,
67,51211,67,0.023809412375371465,1.0,1.0,,,,,
68,51956,68,0.028336944795480896,1.0,1.0,,,,,
69,52717,69,0.0324200642111212,0.0,0.0,,,,,
70,53566,70,0.0299621531454039,0.0,0.0,,,,,
71,55111,71,0.032198957516462505,1.0,1.0,,,,,
72,56296,72,0.03805161378104409,0.0,0.0,,,,,
73,56865,73,0.03255384733891614,0.0,0.0,0.02885075917390588,1.0,1.0,,
74,58106,74,0.02651589824324334,0.0,0.0,,,,,
75,58811,75,0.034081594022146104,1.0,1.0,,,,,
76,59660,76,0.030168136313906812,0.0,0.0,,,,,
77,60117,77,0.03355643420559031,0.0,0.0,,,,,
78,60830,78,0.03654714188182924,0.0,0.0,,,,,
79,61591,79,0.02645473466902275,1.0,1.0,,,,,
