essay id,Has the student written a compelling opening?,Has the student 'shown' and not 'told'?,Has the student used a range of literary devices?,Has the student made an effort to create dynamic characters?,Has the student established a sense of setting?,Has the student varied their sentence structure?,Has the student varied their sentence length?,Has the student written a story that follows the narrative arc?,Has the student engaged with the prompt?,Has the student included dialogue?,Has the student followed the rules of using dialogue? (1. speech marks 2. new speaker new line 3. punctuation before closing speech marks 4. speech tags).,Has the student used paragraphs?,Has the student used the five senses in their writing?
1,3,3,3,3,3,3,3,3,3,3,2,3,3
2,3,3,3,3,3,2,3,3,3,3,2,3,2
3,0,1,1,1,1,2,1,1,1,1,2,2,0
4,2,2,2,2,2,1,1,1,2,2,2,3,1
5,3,3,3,3,3,3,3,3,3,3,3,3,3
6,1,1,1,1,1,1,0,1,1,1,0,1,1
7,2,2,3,3,2,3,3,2,3,2,2,3,3
8,1,2,2,3,2,2,2,2,3,3,3,2,1
9,3,2,1,1,1,0,0,1,2,1,1,2,1
10,2,1,1,1,1,1,1,1,2,1,1,1,0
11,3,3,3,3,3,3,3,3,3,3,3,3,3
12,2,1,2,1,2,1,0,1,1,1,1,2,1
13,2,0,1,1,1,1,1,1,1,1,1,1,0
14,2,1,1,1,2,1,0,2,2,1,1,2,2
15,1,0,0,1,1,1,0,1,1,1,1,1,0
16,3,3,3,3,3,3,3,2,3,3,2,x,0
17,3,3,3,3,2,2,1,3,2,3,2,3,1
18,1,1,1,2,1,1,0,2,2,0,0,1,1
19,1,0,1,2,1,0,0,1,1,1,1,1,1
20,1,2,2,3,1,2,2,2,3,1,1,1,2
21,1,0,1,1,1,1,1,1,1,1,0,0,1
22,3,2,2,2,2,1,1,2,3,1,0,1,3
23,1,2,2,2,2,1,1,2,1,1,1,1,2
24,1,1,1,1,1,0,0,0,0,0,0,0,0
25,2,2,2,3,1,1,1,1,2,2,2,1,2
26,0,1,1,1,1,1,1,2,1,0,0,1,0
27,3,3,3,3,3,3,3,2,1,3,3,3,3
28,,,,,,,,,,,,,
29,0,0,0,1,0,1,0,0,1,0,0,1,0
30,1,0,1,1,1,0,0,1,1,0,0,1,0
31,1,1,1,2,1,1,0,1,1,1,1,1,1
32,1,3,3,3,3,3,3,3,3,3,3,3,2
33,1,0,0,1,1,1,2,1,2,0,0,2,1
34,1,1,1,2,1,0,0,1,1,1,1,1,1
35,2,1,1,1,2,1,1,1,2,1,2,3,1
36,0,2,2,2,2,2,1,1,0,1,2,3,1
37,0,0,0,0,1,1,1,1,1,1,1,1,0
38,0,1,1,1,1,0,1,1,1,1,1,1,0
39,0,1,0,1,1,1,1,2,2,1,1,1,0
40,0,2,2,3,2,3,1,3,3,1,1,1,2
41,1,0,1,1,1,1,1,2,2,0,0,0,0
42,2,3,3,3,3,3,3,2,3,3,2,3,1
43,0,0,0,1,0,1,1,1,1,2,2,3,0
44,1,2,1,1,1,0,1,1,1,0,0,1,1
45,0,2,2,2,1,3,1,1,1,1,1,2,2
46,2,1,2,2,2,2,1,1,2,3,3,3,2
47,1,0,0,1,1,0,0,1,1,1,1,0,1
48,2,2,2,2,2,1,1,1,1,2,2,1,2
49,0,1,2,1,1,1,1,1,2,2,2,3,2
50,3,3,3,3,3,3,3,3,3,3,3,3,1
51,1,2,2,2,2,2,3,3,3,2,2,3,1
52,1,2,2,1,3,2,1,1,2,2,3,3,1
53,1,3,3,3,1,2,2,2,0,3,2,3,1
54,1,1,1,1,1,1,1,1,0,2,2,2,1
55,0,1,1,1,1,0,1,1,0,0,0,0,1
56,1,2,2,2,2,1,1,1,1,0,0,2,2
57,0,0,1,1,1,1,1,1,1,1,2,1,0
58,2,3,3,2,3,1,2,2,2,3,3,3,2
59,1,1,1,2,2,1,0,2,3,2,2,1,2
60,3,2,2,2,2,1,1,2,2,3,2,3,0
61,2,1,1,1,1,1,1,2,0,2,2,2,2
62,2,2,2,1,1,2,2,1,1,2,2,2,1
63,2,2,2,2,2,2,1,1,2,2,2,3,2
64,0,1,1,1,1,1,1,1,1,2,2,2,1
65,3,3,3,3,3,2,1,3,2,0,0,1,1
66,2,2,2,1,2,2,1,1,2,2,2,2,1
67,2,3,3,3,3,3,3,2,3,1,3,3,2
68,1,2,2,2,1,1,1,1,1,2,2,2,1
69,2,2,2,2,2,1,1,0,1,2,2,3,2
70,,,,,,,,,,,,,
71,2,3,3,2,2,2,1,2,3,0,0,3,3
72,1,2,2,2,2,2,1,2,2,0,0,2,1
73,2,1,2,1,1,0,1,2,2,1,1,2,1
74,1,2,2,2,2,1,1,2,3,2,2,2,1
75,0,0,0,1,1,1,0,1,1,1,1,1,0
76,1,2,2,1,2,2,2,2,1,3,2,2,1
77,2,1,1,1,2,0,1,2,1,3,2,2,2
78,2,1,1,2,2,1,1,2,0,2,1,2,0
79,2,2,2,2,1,1,1,2,1,2,2,2,1
